Temperature,Time(microseconds)
30,96
30,1
30,1
30,0
30,1
30,0
30,1
30,64
30,7
30,0
30,0
30,1
30,1
30,1
30,1
30,2
30,0
30,1
30,1
30,0
30,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,0
40,1
40,1
40,0
40,0
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,1
40,23
40,6
40,1
40,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,1
35,0
35,1
35,1
35,1
35,0
35,21
37,6
37,0
37,1
37,1
37,1
37,0
37,1
37,1
37,1
37,1
37,1
37,1
37,21
37,7
39,1
39,0
39,1
39,1
39,0
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,0
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,0
39,1
39,1
39,1
39,1
39,1
39,0
39,1
39,1
39,0
39,1
39,0
39,1
39,1
39,1
39,1
39,1
39,2
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,1
39,21
39,7
39,1
56,1
56,1
56,0
56,1
56,22
56,7
56,1
78,1
78,1
78,23
78,8
78,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,1
45,22
45,7
48,1
48,1
48,1
48,1
48,0
48,1
48,21
48,6
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
49,0
49,1
49,22
49,76
